Location,Latitude,Longitude,AircraftId,Date,Origin,Destination,DepartureAEST,ArrivalAEST
Adelaide,-34.934399,138.541505,FD534,11/7/2022,Adelaide (ADL / YPAD),Mount Gambier (MGB / YMTG),14:07:00,14:23:00
Adelaide,-34.934399,138.541505,FD596,12/7/2022,Adelaide (ADL / YPAD),Naracoorte (NAC / YNRC),14:57:00,15:13:00
Adelaide,-34.934399,138.541505,FD534,10/7/2022,Adelaide (ADL / YPAD),Ceduna (CED / YCDU),15:06:00,15:25:00
Adelaide,-34.934399,138.541505,FD596,14/7/2022,Adelaide (ADL / YPAD),Adelaide (ADL / YPAD),18:58:00,18:58:00
Adelaide,-34.934399,138.541505,FD534,10/7/2022,Adelaide (ADL / YPAD),Clare Valley (YCVA),02:45:00,02:49:00
Adelaide,-34.934399,138.541505,FD278,12/7/2022,Adelaide (ADL / YPAD),Broken Hill (BHQ / YBHI),00:26:00,00:43:00
Adelaide,-34.934399,138.541505,FD534,9/7/2022,Adelaide (ADL / YPAD),Coober Pedy (CPD / YCBP),14:27:00,14:46:00
Adelaide,-34.934399,138.541505,FD534,12/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),20:46:00,20:59:00
Adelaide,-34.934399,138.541505,FD538,18/7/2022,Adelaide (ADL / YPAD),Millicent (MLR / YMCT),12:31:00,12:47:00
Adelaide,-34.934399,138.541505,FD248,16/7/2022,Adelaide (ADL / YPAD),Broken Hill (BHQ / YBHI),18:08:00,18:25:00
Adelaide,-34.934399,138.541505,FD596,4/7/2022,Adelaide (ADL / YPAD),Port Lincoln (PLO / YPLC),17:31:00,17:43:00
Adelaide,-34.934399,138.541505,FD530,15/7/2022,Adelaide (ADL / YPAD),Wilpena Pound (YHAW),18:19:00,18:35:00
Adelaide,-34.934399,138.541505,FD534,14/7/2022,Adelaide (ADL / YPAD),Naracoorte (NAC / YNRC),11:16:00,11:32:00
Adelaide,-34.934399,138.541505,FD849,5/7/2022,Adelaide (ADL / YPAD),Alice Springs (ASP / YBAS),15:55:00,16:14:00
Adelaide,-34.934399,138.541505,FD534,9/7/2022,Adelaide (ADL / YPAD),Renmark (RMK / YREN),17:59:00,18:07:00
Adelaide,-34.934399,138.541505,FD596,10/7/2022,Adelaide (ADL / YPAD),Maitland (YMLD),20:57:00,20:58:00
Adelaide,-34.934399,138.541505,FD580,9/7/2022,Adelaide (ADL / YPAD),Coober Pedy (CPD / YCBP),12:19:00,12:38:00
Adelaide,-34.934399,138.541505,FD580,18/7/2022,Adelaide (ADL / YPAD),Mount Gambier (MGB / YMTG),08:25:00,08:38:00
Adelaide,-34.934399,138.541505,FD534,14/7/2022,Adelaide (ADL / YPAD),Port Pirie (PPI / YPIR),00:11:00,00:18:00
Adelaide,-34.934399,138.541505,FD534,13/7/2022,Adelaide (ADL / YPAD),Mount Gambier (MGB / YMTG),15:06:00,15:24:00
Adelaide,-34.934399,138.541505,FD596,7/7/2022,Adelaide (ADL / YPAD),Kingscote (KGC / YKSC),13:58:00,14:01:00
Adelaide,-34.934399,138.541505,FD538,4/7/2022,Adelaide (ADL / YPAD),Port Lincoln (PLO / YPLC),18:32:00,18:44:00
Adelaide,-34.934399,138.541505,FD596,5/7/2022,Adelaide (ADL / YPAD),Mount Gambier (MGB / YMTG),15:01:00,15:18:00
Adelaide,-34.934399,138.541505,FD534,15/7/2022,Adelaide (ADL / YPAD),Wudinna (YWUD),17:33:00,17:50:00
Adelaide,-34.934399,138.541505,FD534,15/7/2022,Adelaide (ADL / YPAD),Kingscote (KGC / YKSC),18:50:00,18:51:00
Adelaide,-34.934399,138.541505,FD278,11/7/2022,Adelaide (ADL / YPAD),Broken Hill (BHQ / YBHI),23:21:00,23:39:00
Adelaide,-34.934399,138.541505,FD580,8/7/2022,Adelaide (ADL / YPAD),Ceduna (CED / YCDU),13:02:00,13:20:00
Adelaide,-34.934399,138.541505,FD596,7/7/2022,Adelaide (ADL / YPAD),Naracoorte (NAC / YNRC),07:46:00,08:01:00
Adelaide,-34.934399,138.541505,FD543,18/7/2022,Adelaide (ADL / YPAD),Prominent Hill Mine (YPMH),21:21:00,21:40:00
Bankstown,-33.9164078,150.9916975,FD213,14/7/2022,Bankstown (BWU / YSBK),Dubbo (DBO / YSDU),11:39:00,12:02:00
Bankstown,-33.9164078,150.9916975,FD213,17/7/2022,Bankstown (BWU / YSBK),Dubbo (DBO / YSDU),12:14:00,12:37:00
Bankstown,-33.9164078,150.9916975,FD213,16/7/2022,Bankstown (BWU / YSBK),Dubbo (DBO / YSDU),21:07:00,21:30:00
Brisbane,-27.3739966,153.1226313,FD425,5/7/2022,Brisbane (BNE / YBBN),Emerald (EMD / YEML),19:29:00,19:59:00
