"","Location","Latitude","Longitude","AircraftId","Date","Origin","Destination","DepartureAEST","ArrivalAEST"
"99","Bankstown",-33.9164078,150.9916975,"FD213","14-07-2022","Bankstown (BWU / YSBK)","Dubbo (DBO / YSDU)",11:39:00,12:02:00
"100","Bankstown",-33.9164078,150.9916975,"FD213","16-07-2022","Bankstown (BWU / YSBK)","Dubbo (DBO / YSDU)",21:07:00,21:30:00
"101","Brisbane",-27.3739966,153.1226313,"FD456","04-07-2022","Brisbane (BNE / YBBN)","Chinchilla (CCL / YCCA)",13:48:00,14:15:00
"102","Brisbane",-27.3739966,153.1226313,"FD456","15-07-2022","Brisbane (BNE / YBBN)","Brisbane (BNE / YBBN)",15:50:00,16:15:00
"103","Brisbane",-27.3739966,153.1226313,"FD427","10-07-2022","Brisbane (BNE / YBBN)","Gladstone (GLT / YGLA)",02:00:00,02:28:00
"104","Brisbane",-27.3739966,153.1226313,"FD467","17-07-2022","Brisbane (BNE / YBBN)","Hervey Bay (HVB / YHBA)",15:37:00,16:03:00
"105","Brisbane",-27.3739966,153.1226313,"FD456","16-07-2022","Brisbane (BNE / YBBN)","Emerald (EMD / YEML)",13:35:00,14:05:00
"106","Brisbane",-27.3739966,153.1226313,"FD425","05-07-2022","Brisbane (BNE / YBBN)","Emerald (EMD / YEML)",19:29:00,19:59:00
"107","Brisbane",-27.3739966,153.1226313,"FD427","10-07-2022","Brisbane (BNE / YBBN)","Kingaroy (KGY / YKRY)",20:27:00,20:52:00
"108","Brisbane",-27.3739966,153.1226313,"FD478","17-07-2022","Brisbane (BNE / YBBN)","Moura (YMOU)",08:08:00,08:36:00
"109","Brisbane",-27.3739966,153.1226313,"FD427","08-07-2022","Brisbane (BNE / YBBN)","Hervey Bay (HVB / YHBA)",15:24:00,15:50:00
"110","Brisbane",-27.3739966,153.1226313,"FD478","16-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",16:14:00,16:43:00
"111","Brisbane",-27.3739966,153.1226313,"FD427","10-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",13:38:00,14:07:00
"112","Brisbane",-27.3739966,153.1226313,"FD456","15-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",10:13:00,10:41:00
"113","Brisbane",-27.3739966,153.1226313,"FD456","07-07-2022","Brisbane (BNE / YBBN)","Roma (RMA / YROM)",12:54:00,13:22:00
"114","Brisbane",-27.3739966,153.1226313,"FD456","11-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",17:30:00,17:58:00
"115","Brisbane",-27.3739966,153.1226313,"FD425","12-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",09:22:00,09:48:00
"116","Brisbane",-27.3739966,153.1226313,"FD425","08-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",15:52:00,16:19:00
"117","Brisbane",-27.3739966,153.1226313,"FD456","06-07-2022","Brisbane (BNE / YBBN)","Hervey Bay (HVB / YHBA)",16:12:00,16:38:00
"118","Brisbane",-27.3739966,153.1226313,"FD449","11-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",19:51:00,20:19:00
"119","Brisbane",-27.3739966,153.1226313,"FD478","06-07-2022","Brisbane (BNE / YBBN)","Hervey Bay (HVB / YHBA)",01:56:00,02:22:00
"120","Brisbane",-27.3739966,153.1226313,"FD425","09-07-2022","Brisbane (BNE / YBBN)","Hervey Bay (HVB / YHBA)",11:03:00,11:30:00
"121","Brisbane",-27.3739966,153.1226313,"FD493","09-07-2022","Brisbane (BNE / YBBN)","Toowoomba (YTWB)",15:55:00,16:20:00
"122","Brisbane",-27.3739966,153.1226313,"FD425","11-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",11:19:00,11:46:00
"123","Brisbane",-27.3739966,153.1226313,"FD456","12-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",08:52:00,09:22:00
"124","Brisbane",-27.3739966,153.1226313,"FD478","04-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",21:14:00,21:42:00
"125","Brisbane",-27.3739966,153.1226313,"FD425","16-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",10:22:00,10:49:00
"126","Brisbane",-27.3739966,153.1226313,"FD449","10-07-2022","Brisbane (BNE / YBBN)","Emerald (EMD / YEML)",17:39:00,18:09:00
"127","Brisbane",-27.3739966,153.1226313,"FD456","09-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",01:21:00,01:50:00
"128","Brisbane",-27.3739966,153.1226313,"FD456","10-07-2022","Brisbane (BNE / YBBN)","Brisbane (BNE / YBBN)",04:39:00,05:09:00
"129","Brisbane",-27.3739966,153.1226313,"FD425","07-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",17:51:00,18:18:00
"130","Brisbane",-27.3739966,153.1226313,"FD449","04-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",22:57:00,23:27:00
"131","Brisbane",-27.3739966,153.1226313,"FD478","05-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",19:32:00,20:00:00
"132","Brisbane",-27.3739966,153.1226313,"FD456","10-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",04:42:00,05:10:00
"133","Brisbane",-27.3739966,153.1226313,"FD489","07-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",09:34:00,10:01:00
"134","Brisbane",-27.3739966,153.1226313,"FD480","11-07-2022","Brisbane (BNE / YBBN)","Longreach (YLRE)",16:56:00,17:27:00
"135","Brisbane",-27.3739966,153.1226313,"FD449","08-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",11:19:00,11:46:00
"136","Brisbane",-27.3739966,153.1226313,"FD456","11-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",02:13:00,02:41:00
"137","Brisbane",-27.3739966,153.1226313,"FD493","17-07-2022","Brisbane (BNE / YBBN)","Charleville (CTL / YBCV)",14:41:00,15:12:00
"138","Brisbane",-27.3739966,153.1226313,"FD427","13-07-2022","Brisbane (BNE / YBBN)","Hervey Bay (HVB / YHBA)",14:35:00,15:01:00
"139","Brisbane",-27.3739966,153.1226313,"FD425","13-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",07:58:00,08:25:00
"140","Brisbane",-27.3739966,153.1226313,"FD467","12-07-2022","Brisbane (BNE / YBBN)","Hervey Bay (HVB / YHBA)",18:42:00,19:09:00
"141","Brisbane",-27.3739966,153.1226313,"FD449","05-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",13:04:00,13:35:00
"142","Brisbane",-27.3739966,153.1226313,"FD449","06-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",15:27:00,15:56:00
"143","Brisbane",-27.3739966,153.1226313,"FD427","09-07-2022","Brisbane (BNE / YBBN)","Hervey Bay (HVB / YHBA)",15:29:00,15:55:00
"144","Brisbane",-27.3739966,153.1226313,"FD427","16-07-2022","Brisbane (BNE / YBBN)","Kingaroy (KGY / YKRY)",14:11:00,14:37:00
"145","Brisbane",-27.3739966,153.1226313,"FD425","16-07-2022","Brisbane (BNE / YBBN)","Gladstone (GLT / YGLA)",21:15:00,21:43:00
"146","Brisbane",-27.3739966,153.1226313,"FD427","14-07-2022","Brisbane (BNE / YBBN)","Gladstone (GLT / YGLA)",11:01:00,11:29:00
"147","Brisbane",-27.3739966,153.1226313,"FD449","14-07-2022","Brisbane (BNE / YBBN)","Emerald (EMD / YEML)",14:32:00,15:02:00
